ID,Category,Description,Nickname
GzeqPaperPfReason,DGCNGDB,钢轧二期_简报_成品判废原因,GzeqPaperPfReason
GzeqPaperBtDescDb,TGMESDB,钢轧二期_简报_大棒表探明细,GzeqPaperBtDescDb
GzeqPaperBtDescZb,TGMESDB,钢轧二期_简报_中棒表探明细,GzeqPaperBtDescZb
GzeqPaperBtRate,TGMESDB,钢轧二期_简报_表探合格率,GzeqPaperBtRate
GzeqPaperBtRateDl,TGMESDB,钢轧二期_简报_电炉表探合格率,GzeqPaperBtRateDl
GzeqPaperBtRateLg,TGMESDB,钢轧二期_简报_炼钢表探合格率,GzeqPaperBtRateLg
GzeqPaperBtRateZl,TGMESDB,钢轧二期_简报_转炉表探合格率,GzeqPaperBtRateZl
GzeqPaperIndicator,TGMESDB,钢轧二期_简报_关键指标,GzeqPaperIndicator
GzeqPaperIndicatorException,TGMESDB,钢轧二期_简报_关键指标异常,GzeqPaperIndicatorException
GzeqPaperMixed,TGMESDB,钢轧二期_简报_夹杂不合格,GzeqPaperMixed
GzeqPaperTsBhg,TGMESDB,钢轧二期_简报_内探不合格,GzeqPaperTsBhg
GzeqPaperTsRate,TGMESDB,钢轧二期_简报_内探合格率,GzeqPaperTsRate
GzeqPaperWarn,TGMESDB,钢轧二期_简报_报警推送,GzeqPaperWarn
GzeqPaperXnFirst,TGMESDB,钢轧二期_简报_性能初样,GzeqPaperXnFirst
GzeqPitCoolingPitNumberQuery,TGMESDB,智慧质量_大棒_缓冷坑按坑号查询,GzeqPitCoolingPitNumberQuery
GzeqDefectReason,ERPZSDB,钢轧二期_简报_缺陷原因,GzeqDefectReason
GzeqPaperStayYesterday,ERPZSDB,钢轧二期_简报_生产暂留,GzeqPaperStayYesterday
GzeqPaperStayYesterdayDesc,ERPZSDB,钢轧二期_简报_生产暂留明细,GzeqPaperStayYesterdayDesc
DGCNGDB_GzeqPaperPfReason,DEFAULT,钢轧二期_简报_成品判废原因,DGCNGDB_GzeqPaperPfReason
ERPZS_GzeqDefectReason,DEFAULT,钢轧二期_简报_缺陷原因,ERPZS_GzeqDefectReason
ERPZS_GzeqPaperStayYesterday,DEFAULT,钢轧二期_简报_生产暂留,ERPZS_GzeqPaperStayYesterday
ERPZS_GzeqPaperStayYesterdayDesc,DEFAULT,钢轧二期_简报_生产暂留明细,ERPZS_GzeqPaperStayYesterdayDesc
TGMESDB_GzeqPaperBtDescDb,DEFAULT,钢轧二期_简报_大棒表探明细,TGMESDB_GzeqPaperBtDescDb
TGMESDB_GzeqPaperBtDescZb,DEFAULT,钢轧二期_简报_中棒表探明细,TGMESDB_GzeqPaperBtDescZb
TGMESDB_GzeqPaperBtRate,DEFAULT,钢轧二期_简报_表探合格率,TGMESDB_GzeqPaperBtRate
TGMESDB_GzeqPaperBtRateDl,DEFAULT,钢轧二期_简报_电炉表探合格率,TGMESDB_GzeqPaperBtRateDl
TGMESDB_GzeqPaperBtRateLg,DEFAULT,钢轧二期_简报_炼钢表探合格率,TGMESDB_GzeqPaperBtRateLg
TGMESDB_GzeqPaperBtRateZl,DEFAULT,钢轧二期_简报_转炉表探合格率,TGMESDB_GzeqPaperBtRateZl
TGMESDB_GzeqPaperIndicator,DEFAULT,钢轧二期_简报_关键指标,TGMESDB_GzeqPaperIndicator
TGMESDB_GzeqPaperIndicatorException,DEFAULT,钢轧二期_简报_关键指标异常,TGMESDB_GzeqPaperIndicatorException
TGMESDB_GzeqPaperMixed,DEFAULT,钢轧二期_简报_夹杂不合格,TGMESDB_GzeqPaperMixed
TGMESDB_GzeqPaperTsBhg,DEFAULT,钢轧二期_简报_内探不合格,TGMESDB_GzeqPaperTsBhg
TGMESDB_GzeqPaperTsRate,DEFAULT,钢轧二期_简报_内探合格率,TGMESDB_GzeqPaperTsRate
TGMESDB_GzeqPaperWarn,DEFAULT,钢轧二期_简报_报警推送,TGMESDB_GzeqPaperWarn
TGMESDB_GzeqPaperXnFirst,DEFAULT,钢轧二期_简报_性能初样,TGMESDB_GzeqPaperXnFirst
服务系统,DEFAULT,,服务系统
project.jar,DEFAULT,,project.jar
,DEFAULT,,
,DEFAULT,,
,DEFAULT,,
,DEFAULT,,
,DEFAULT,,
,DEFAULT,,
,DEFAULT,,
,DEFAULT,,
DEFAULT,DEFAULT,系统组件是一种内置组件,开发期间不允许被修改,系统组件
service,service,服务模块,服务模块
ERP,ERP,,集团ERP
YJPTDB,YJPTDB,,预警平台数据库
GPDB,GPDB,,GP数据库
BCERP,BCERP,,板材ERP
MES,MES,,板材MES
ERPZSDB,ERPZSDB,,ERP正式机数据库
DSPDB,DSPDB,,数据服务平台数据库
BIGPURCHASESYS,BIGPURCHASESYS,,BIGPURCHASESYS
SD,SD,,赛迪
ESB,ESB,,数据服务系统
XERP,XERP,,销售子公司ERP
ZHJTSYSTEM,ZHJTSYSTEM,,治安保卫系统
XYSCSYS,XYSCSYS,,鑫洋物流系统
ELT,ELT,,电子摘挂牌
NGEMSDB,NGEMSDB,,南钢EMS数据库
MYSTEELSYS,MYSTEELSYS,,黑色市场分析智慧管理系统
BCMESDB,BCMESDB,,板材MES数据库
ROMASYS,ROMASYS,,ROMA系统
C2MSYS,C2MSYS,,销售电子商务系统
TGMESDB,TGMESDB,,特钢MES数据库
JLSYS,JLSYS,,计量系统
CLMJ,CLMJ,,车辆门禁系统
OADB,OADB,,协同OA数据库
DGCNGDB,DGCNGDB,,数据治理中心DGC
DGCNG_SECDB,DGCNG_SECDB,,保卫SEC数据库
ENTRANCE,ENTRANCE,,人脸门禁系统
NC,NC,,南钢NC系统
JSDHMSSYS,JSDHMSSYS,,金仕达HMS系统
DWSDB,DWSDB,,DWS数据库
FGQLCDB,FGQLCDB,,废钢全流程数据库
XCYSYS,XCYSYS,,新产业投资集团信息化系统
JLDB,JLDB,,计量数据库
TQMESZBDB,TQMESZBDB,,铁区MES灾备机数据库
JHYDB,JHYDB,,检化验数据库
ZHYWDB,ZHYWDB,,智慧运维数据库
RLMJDB,RLMJDB,,人脸门禁数据库
YLGDGEJDB,YLGDGEJDB,,一炼钢倒罐二级数据库
NG_DGDB,NG_DGDB,,特带厂中转数据库
ICENTER,ICENTER,,智慧中心看板
ZHYQYQDB,ZHYQYQDB,,智慧园区一期数据库
TQMESDB,TQMESDB,,铁区MES正式机数据库
CLMJDB,CLMJDB,,车辆门禁数据库
BCYXDB,BCYXDB,,板材营销数据库
GYLJR,GYLJR,,供应链金融项目
XZLZBD,XZLZBD,,鑫智链中标贷
XZLSDK,XZLSDK,,鑫智链交易平台SDK
XZLZT,XZLZT,,鑫智链中台
ZHYYDB,ZHYYDB,,智慧运营数据库
LJSDB,LJSDB,,劳杰斯数据库
CCWLSYS,CCWLSYS,,长材物流系统
ZHYYIOCSYS,ZHYYIOCSYS,,智慧运营PC端系统
ZHYY,ZHYY,,智慧运营
CENTERIOTSYS,CENTERIOTSYS,,中心loT
ZHLZ,ZHLZ,,智慧廉政系统
XBWGSYS,XBWGSYS,,小豹网关接口组
DSPTZSDB,DSPTZSDB,,电商平台正式机数据库
OA,OA,,OA系统
MJSYS,MJSYS,,黑烟门禁系统
NISCOSMS,NISCOSMS,,南钢短信平台
ZHHBSYS,ZHHBSYS,,智慧环保系统
板材数据湖,板材数据湖,,板材数据湖
SAFEDB,SAFEDB,,智慧运营安全数据库
TGSYS,TGSYS,,特钢相关系统
BTZJPT,BTZJPT,,拜特资金平台
MDM,MDM,,主数据系统
HKPT,HKPT,,海康平台
IEMPPRODB,IEMPPRODB,,设备智维数据库
ZBZSJDB,ZBZSJDB,,招标正式机数据库
BDKSHDB,BDKSHDB,,北斗交通可视化数据库
XZLGYL,XZLGYL,,鑫智链供应链系统
JHIOT,JHIOT,,JHIOT
TESTMOD,TESTMOD,,测试模块
DGC_EQP,DGC_EQP,,大数据平台设备领域
YQSYS,YQSYS,,南钢疫情系统
CGYTHDB,CGYTHDB,,采购一体化数据库
JHOASYS,JHOASYS,,金九OA平台
PRODJHOASYS,PRODJHOASYS,,金九正式机
NGEJSYS,NGEJSYS,,南钢e家系统
ZHMTSYS,ZHMTSYS,,智慧码头系统
ZGDB,ZGDB,,中钢数据库
NGZHSTSYS,NGZHSTSYS,,南钢智慧食堂系统
NGMTTS,NGMTTS,,南钢码头提升系统
SPMS,SPMS,,物流中心船运管理系统
TCJYDB,TCJYDB,,台车加油数据库
ZQZLDB,ZQZLDB,,造球整粒数据库
TYRLKSYS,TYRLKSYS,,南钢统一人脸库系统
ZHLCDDSYS,ZHLCDDSYS,,智慧料场调度系统
TGLIWXGLSYS,TGLIWXGLSYS,,特钢事业部连铸数字化管控平台
DORISDB,DORISDB,,华为Doris
SCRAPSTEELHALL,SCRAPSTEELHALL,,废钢大厅一体化
GNXKSYS,GNXKSYS,,港南新库项目
ZHJJDB,ZHJJDB,,智慧纪检数据库
ZLEJSHLDB,ZLEJSHLDB,,转炉二级三号炉数据库
ZLEJEHLDB,ZLEJEHLDB,,转炉二级二号炉数据库
TCDB,TCDB,,铁次数据库
ZLEJYHLDB,ZLEJYHLDB,,转炉二级一号炉数据库
TGMESZBDB,TGMESZBDB,,特钢MES灾备数据库
TYSFRZSYS,TYSFRZSYS,,统一身份认证系统
YXSJZLDB,YXSJZLDB,,智慧营销数据治理
HJZDQYSYS,HJZDQYSYS,,合金自动取样系统
DGCSALDB,DGCSALDB,,DGCSAL数据库
WMS,WMS,,金恒-WMS服务
ZGEJMX,ZGEJMX,,轧钢二级模型
CWSJ,CWSJ,,财务税金系统
NGNYYTH,NGNYYTH,,南钢能源一体化系统
NYSJKDB,NYSJKDB,,能源数据库
BCMESZBDB,BCMESZBDB,,板材mes灾备数据库
ERPZBDB,ERPZBDB,,erp灾备数据库
SBGLERPDB,SBGLERPDB,,设备管理ERP数据库
XDYSYS,XDYSYS,,新大洋船运一体化平台
JYJXKB,JYJXKB,,经营绩效看板
ZHFWDB,ZHFWDB,,智慧法务
NGSBZYSYS,NGSBZYSYS,,南钢设备智维二期
JHICT,JHICT,,金恒智能制造研发中心园区
HCXT,HCXT,,缓存系统
NDIOTSYS,NDIOTSYS,,能动IOT系统
TGCOSTSYS,TGCOSTSYS,,特钢智慧成本项目
DHRSYS,DHRSYS,,南钢DHR系统
ZHYYDWSDB,ZHYYDWSDB,,南钢智慧运营DWS数据库
QMSDORISDB,QMSDORISDB,,钢轧集控Doris数据库
DGCQMSDORISDB,DGCQMSDORISDB,,特钢钢轧实时数仓
BCSJH,BCSJH,,板材数据湖
CWGX,CWGX,,财务共享系统
TGSZGCWYQY,TGSZGCWYQY,,特钢数字工厂网易迁移
TGGZJKSYS,TGGZJKSYS,,特钢钢轧集控二期系统
CXJHHD,CXJHHD,,行畅江海航道微服务API服务平台
ZHYYDORISDB,ZHYYDORISDB,,智慧运营DORIS实时数据库
TJXXHSYS,TJXXHSYS,,统计信息化
TGIOTSYS,TGIOTSYS,,特钢IOT
BCIOTSYS,BCIOTSYS,,板材IOT
ELG_TC,ELG_TC,,二炼钢_天车
SLG_matmsg,SLG_matmsg,,三炼钢_matmsg
ELGDB,ELGDB,,二炼钢
SRMDIGITALSYS,SRMDIGITALSYS,,供应商数字化管理系统
DXYZJSYS,DXYZJSYS,,电信云总机系统
XCYDHRXT,XCYDHRXT,,新产业DHR系统
ZHAQSYS,ZHAQSYS,,智慧安全二期平台
XCYTWOSYS,XCYTWOSYS,,新产业投资集团信息化系统二期
ZABW,ZABW,,治安保卫系统
BWDZDT,BWDZDT,,保卫电子地图
AQSCJCSYS,AQSCJCSYS,,安全生产监测系统
GMICRMT,GMICRMT,,国贸驾驶舱和供应商
JHHBCBGL,JHHBCBGL,,金瀚环保成本管理系统
NGITYWGLPT,NGITYWGLPT,,南钢IT运维管理平台
FGQLCSYS,FGQLCSYS,,废钢全流程系统
HWSYS,HWSYS,,华为平台系统
JLQJSYS,JLQJSYS,,计量器具系统
XFKSHSYS,XFKSHSYS,,消防可视化系统
XYY,XYY,,鑫易运
BYTTER,BYTTER,,深圳市拜特科技股份有限公司
ZXJTCGXT,ZXJTCGXT,,中信集团采购系统
DLAQSYS,DLAQSYS,,电炉服务
ZHZL,ZHZL,,智慧质量
YTLZ,YTLZ,,一图连铸
XNFZZL,XNFZZL,,虚拟仿真转炉
